match_id,team_id,opponent_id,points_for,points_against
52,45,27,15,6
52,27,45,6,15
53,45,46,6,15
53,46,45,15,6
54,45,48,8,12
54,48,45,12,8
55,45,49,13,2
55,49,45,2,13
56,45,50,9,13
56,50,45,13,9
57,45,51,13,10
57,51,45,10,13
58,45,47,5,15
58,47,45,15,5
59,45,52,7,11
59,52,45,11,7
60,45,49,9,8
60,49,45,8,9
61,29,47,13,12
61,47,29,12,13
62,29,30,7,9
62,30,29,9,7
63,29,46,13,8
63,46,29,8,13
64,29,39,8,13
64,39,29,13,8
65,29,28,11,5
65,28,29,5,11
66,29,51,13,6
66,51,29,6,13
67,29,52,13,4
67,52,29,4,13
68,29,47,9,8
68,47,29,8,9
69,29,48,12,9
69,48,29,9,12
70,29,49,15,4
70,49,29,4,15
71,29,51,15,10
71,51,29,10,15
72,29,50,14,9
72,50,29,9,14
73,53,54,11,12
73,54,53,12,11
74,53,55,10,7
74,55,53,7,10
75,53,56,9,12
75,56,53,12,9
76,53,57,2,13
76,57,53,13,2
77,53,58,7,13
77,58,53,13,7
78,53,59,9,11
78,59,53,11,9
79,53,60,12,8
79,60,53,8,12
80,53,58,7,11
80,58,53,11,7
81,53,61,13,10
81,61,53,10,13
82,53,35,12,7
82,35,53,7,12
83,53,62,5,7
83,62,53,7,5
84,53,63,5,7
84,63,53,7,5
85,64,65,6,11
85,65,64,11,6
86,64,66,9,10
86,66,64,10,9
87,64,33,6,12
87,33,64,12,6
88,64,34,8,12
88,34,64,12,8
89,64,67,12,6
89,67,64,6,12
90,64,68,8,10
90,68,64,10,8
91,64,66,6,12
91,66,64,12,6
92,64,69,12,6
92,69,64,6,12
93,64,70,8,7
93,70,64,7,8
94,64,71,10,7
94,71,64,7,10
95,64,72,10,11
95,72,64,11,10
96,64,68,13,5
96,68,64,5,13
97,64,66,12,9
97,66,64,9,12
98,64,73,8,12
98,73,64,12,8
99,64,74,14,5
99,74,64,5,14
100,64,75,6,11
100,75,64,11,6
101,64,76,14,13
101,76,64,13,14
102,64,77,12,15
102,77,64,15,12
103,64,72,15,11
103,72,64,11,15
104,78,79,1,12
104,79,78,12,1
105,78,80,3,12
105,80,78,12,3
106,78,74,5,9
106,74,78,9,5
107,78,80,4,9
107,80,78,9,4
108,78,74,8,11
108,74,78,11,8
109,78,81,1,15
109,81,78,15,1
110,78,76,6,15
110,76,78,15,6
111,78,82,1,15
111,82,78,15,1
112,78,60,5,14
112,60,78,14,5
113,78,70,1,15
113,70,78,15,1
114,78,74,10,11
114,74,78,11,10
115,83,84,12,0
115,84,83,0,12
116,83,85,8,1
116,85,83,1,8
117,83,86,4,5
117,86,83,5,4
118,83,87,2,8
118,87,83,8,2
119,83,85,9,3
119,85,83,3,9
120,83,88,4,8
120,88,83,8,4
121,83,89,7,9
121,89,83,9,7
122,83,90,8,7
122,90,83,7,8
123,83,91,11,10
123,91,83,10,11
124,83,92,8,5
124,92,83,5,8
125,83,93,8,9
125,93,83,9,8
126,83,94,7,13
126,94,83,13,7
127,83,88,9,12
127,88,83,12,9
128,83,95,11,13
128,95,83,13,11
129,96,97,1,13
129,97,96,13,1
130,96,98,6,13
130,98,96,13,6
131,96,99,0,13
131,99,96,13,0
132,96,100,10,13
132,100,96,13,10
133,96,101,11,10
133,101,96,10,11
134,96,102,5,15
134,102,96,15,5
135,96,100,14,15
135,100,96,15,14
136,82,103,10,13
136,103,82,13,10
137,82,32,7,13
137,32,82,13,7
138,82,31,10,13
138,31,82,13,10
139,82,8,7,15
139,8,82,15,7
140,82,104,11,13
140,104,82,13,11
141,82,103,8,13
141,103,82,13,8
142,82,63,9,10
142,63,82,10,9
143,82,105,10,13
143,105,82,13,10
144,82,106,7,12
144,106,82,12,7
145,82,107,6,13
145,107,82,13,6
146,82,108,14,13
146,108,82,13,14
147,82,109,13,12
147,109,82,12,13
148,82,110,10,6
148,110,82,6,10
149,82,76,14,8
149,76,82,8,14
150,82,60,14,12
150,60,82,12,14
151,82,81,13,8
151,81,82,8,13
152,82,73,15,11
152,73,82,11,15
153,82,111,15,12
153,111,82,12,15
154,82,112,9,14
154,112,82,14,9
155,82,113,13,3
155,113,82,3,13
156,82,114,13,2
156,114,82,2,13
157,82,115,13,6
157,115,82,6,13
158,82,116,15,10
158,116,82,10,15
159,82,35,10,12
159,35,82,12,10
160,82,117,15,2
160,117,82,2,15
161,118,119,16,3
161,119,118,3,16
162,118,120,14,12
162,120,118,12,14
163,118,121,8,17
163,121,118,17,8
164,118,122,13,11
164,122,118,11,13
165,118,123,13,5
165,123,118,5,13
166,118,124,6,13
166,124,118,13,6
167,118,125,9,10
167,125,118,10,9
168,118,126,10,5
168,126,118,5,10
169,118,127,5,11
169,127,118,11,5
170,118,128,7,11
170,128,118,11,7
171,118,126,9,7
171,126,118,7,9
172,118,129,0,0
172,129,118,0,0
173,118,120,13,9
173,120,118,9,13
174,118,130,12,4
174,130,118,4,12
175,118,131,12,5
175,131,118,5,12
176,118,122,10,11
176,122,118,11,10
177,118,132,10,4
177,132,118,4,10
178,118,130,11,10
178,130,118,10,11
179,133,127,3,13
179,127,133,13,3
180,133,129,7,6
180,129,133,6,7
181,133,134,6,11
181,134,133,11,6
182,133,126,11,6
182,126,133,6,11
183,133,128,8,9
183,128,133,9,8
184,133,135,8,9
184,135,133,9,8
185,133,136,7,9
185,136,133,9,7
186,133,30,8,9
186,30,133,9,8
187,133,99,12,4
187,99,133,4,12
188,133,107,12,15
188,107,133,15,12
189,133,42,11,15
189,42,133,15,11
190,133,137,13,9
190,137,133,9,13
191,119,121,1,17
191,121,119,17,1
192,119,120,2,17
192,120,119,17,2
193,119,124,1,13
193,124,119,13,1
194,119,123,3,12
194,123,119,12,3
195,37,138,9,7
195,138,37,7,9
196,37,60,6,12
196,60,37,12,6
197,37,30,3,13
197,30,37,13,3
198,37,138,9,8
198,138,37,8,9
199,37,137,5,13
199,137,37,13,5
200,37,139,10,5
200,139,37,5,10
201,37,140,9,8
201,140,37,8,9
202,37,30,10,15
202,30,37,15,10
203,37,99,15,8
203,99,37,8,15
204,37,141,10,15
204,141,37,15,10
205,142,143,4,12
205,143,142,12,4
206,142,144,15,2
206,144,142,2,15
207,142,145,5,3
207,145,142,3,5
208,142,146,4,13
208,146,142,13,4
209,142,86,7,12
209,86,142,12,7
210,142,147,7,9
210,147,142,9,7
211,142,148,3,13
211,148,142,13,3
212,142,149,4,13
212,149,142,13,4
213,142,150,6,11
213,150,142,11,6
214,142,151,6,13
214,151,142,13,6
215,142,152,4,11
215,152,142,11,4
216,153,18,13,2
216,18,153,2,13
217,153,12,13,3
217,12,153,3,13
218,153,154,13,2
218,154,153,2,13
219,153,13,13,8
219,13,153,8,13
220,153,155,12,5
220,155,153,5,12
221,153,156,13,5
221,156,153,5,13
222,153,136,7,8
222,136,153,8,7
223,153,13,8,6
223,13,153,6,8
224,153,156,8,7
224,156,153,7,8
225,153,136,6,7
225,136,153,7,6
226,157,34,13,7
226,34,157,7,13
227,157,75,12,9
227,75,157,9,12
228,157,158,2,13
228,158,157,13,2
229,157,32,6,8
229,32,157,8,6
230,157,33,6,7
230,33,157,7,6
231,157,41,13,8
231,41,157,8,13
232,157,65,10,11
232,65,157,11,10
233,157,110,10,3
233,110,157,3,10
234,157,31,7,13
234,31,157,13,7
235,157,107,10,15
235,107,157,15,10
236,157,159,14,12
236,159,157,12,14
237,157,103,8,15
237,103,157,15,8
238,157,160,15,7
238,160,157,7,15
239,157,60,14,9
239,60,157,9,14
240,157,161,11,4
240,161,157,4,11
241,157,162,7,11
241,162,157,11,7
242,162,139,13,3
242,139,162,3,13
243,162,30,13,5
243,30,162,5,13
244,162,39,13,10
244,39,162,10,13
245,162,38,12,10
245,38,162,10,12
246,162,50,13,4
246,50,162,4,13
247,162,163,13,0
247,163,162,0,13
248,162,164,13,4
248,164,162,4,13
249,162,49,13,0
249,49,162,0,13
250,162,164,13,1
250,164,162,1,13
251,162,24,15,3
251,24,162,3,15
252,162,59,15,6
252,59,162,6,15
253,164,49,13,4
253,49,164,4,13
254,164,50,11,10
254,50,164,10,11
255,164,163,10,7
255,163,164,7,10
256,165,166,10,6
256,166,165,6,10
257,165,167,9,7
257,167,165,7,9
258,165,168,8,3
258,168,165,3,8
259,165,22,4,13
259,22,165,13,4
260,165,169,11,12
260,169,165,12,11
261,165,168,7,11
261,168,165,11,7
262,165,170,10,13
262,170,165,13,10
263,165,171,4,11
263,171,165,11,4
264,165,172,4,15
264,172,165,15,4
265,165,173,7,10
265,173,165,10,7
266,165,171,8,10
266,171,165,10,8
267,165,174,8,6
267,174,165,6,8
268,165,175,13,6
268,175,165,6,13
269,165,176,10,7
269,176,165,7,10
270,165,177,10,9
270,177,165,9,10
271,165,13,6,12
271,13,165,12,6
272,165,178,3,12
272,178,165,12,3
273,165,15,5,4
273,15,165,4,5
274,89,88,8,5
274,88,89,5,8
275,89,87,5,6
275,87,89,6,5
276,89,85,9,0
276,85,89,0,9
277,89,84,13,0
277,84,89,0,13
278,89,86,8,5
278,86,89,5,8
279,89,88,15,10
279,88,89,10,15
280,89,179,10,11
280,179,89,11,10
281,89,180,9,10
281,180,89,10,9
282,89,181,15,5
282,181,89,5,15
283,89,94,8,10
283,94,89,10,8
284,89,182,9,7
284,182,89,7,9
285,89,93,13,4
285,93,89,4,13
286,89,183,8,13
286,183,89,13,8
287,89,184,5,13
287,184,89,13,5
288,89,185,8,13
288,185,89,13,8
289,89,186,13,12
289,186,89,12,13
290,89,187,12,13
290,187,89,13,12
291,89,188,13,10
291,188,89,10,13
292,89,189,9,15
292,189,89,15,9
293,190,191,15,7
293,191,190,7,15
294,190,98,15,8
294,98,190,8,15
295,190,139,14,5
295,139,190,5,14
296,190,192,13,11
296,192,190,11,13
297,190,137,10,15
297,137,190,15,10
298,190,97,12,9
298,97,190,9,12
299,190,99,10,11
299,99,190,11,10
300,190,141,5,11
300,141,190,11,5
301,190,26,5,13
301,26,190,13,5
302,190,102,15,11
302,102,190,11,15
303,190,140,15,11
303,140,190,11,15
304,190,139,14,9
304,139,190,9,14
305,190,193,13,1
305,193,190,1,13
306,190,102,13,3
306,102,190,3,13
307,190,101,13,2
307,101,190,2,13
308,190,194,13,6
308,194,190,6,13
309,190,99,12,15
309,99,190,15,12
310,181,180,6,12
310,180,181,12,6
311,181,94,3,15
311,94,181,15,3
312,181,182,3,15
312,182,181,15,3
313,181,179,1,15
313,179,181,15,1
314,181,93,4,12
314,93,181,12,4
315,25,28,13,7
315,28,25,7,13
316,25,27,13,1
316,27,25,1,13
317,25,24,13,9
317,24,25,9,13
318,25,26,13,2
318,26,25,2,13
319,25,47,13,11
319,47,25,11,13
320,25,24,15,8
320,24,25,8,15
321,25,195,13,7
321,195,25,7,13
322,25,51,13,2
322,51,25,2,13
323,25,44,11,13
323,44,25,13,11
324,25,196,13,9
324,196,25,9,13
325,25,30,15,13
325,30,25,13,15
326,25,43,14,15
326,43,25,15,14
327,25,156,13,10
327,156,25,10,13
328,25,197,14,15
328,197,25,15,14
329,25,198,15,9
329,198,25,9,15
330,25,199,11,10
330,199,25,10,11
331,200,201,4,13
331,201,200,13,4
332,200,202,5,9
332,202,200,9,5
333,200,201,9,7
333,201,200,7,9
334,200,202,4,10
334,202,200,10,4
335,200,201,4,9
335,201,200,9,4
336,200,202,6,12
336,202,200,12,6
337,141,99,10,11
337,99,141,11,10
338,141,97,12,2
338,97,141,2,12
339,141,138,13,3
339,138,141,3,13
340,141,203,12,14
340,203,141,14,12
341,141,26,15,5
341,26,141,5,15
342,141,204,10,11
342,204,141,11,10
343,141,159,10,12
343,159,141,12,10
344,141,68,9,7
344,68,141,7,9
345,141,205,10,11
345,205,141,11,10
346,141,104,15,8
346,104,141,8,15
347,141,206,10,11
347,206,141,11,10
348,141,34,12,4
348,34,141,4,12
349,182,185,8,13
349,185,182,13,8
350,182,77,7,11
350,77,182,11,7
351,182,67,11,4
351,67,182,4,11
352,182,61,5,12
352,61,182,12,5
353,182,68,15,4
353,68,182,4,15
354,182,66,13,10
354,66,182,10,13
355,182,207,15,4
355,207,182,4,15
356,182,208,9,6
356,208,182,6,9
357,182,209,7,10
357,209,182,10,7
358,182,210,7,9
358,210,182,9,7
359,182,187,8,7
359,187,182,7,8
360,182,183,8,11
360,183,182,11,8
361,182,179,12,6
361,179,182,6,12
362,182,180,15,7
362,180,182,7,15
363,182,93,15,6
363,93,182,6,15
364,182,94,11,10
364,94,182,10,11
365,211,212,2,13
365,212,211,13,2
366,211,143,4,12
366,143,211,12,4
367,211,213,2,5
367,213,211,5,2
368,211,214,4,8
368,214,211,8,4
369,211,215,2,10
369,215,211,10,2
370,180,146,8,9
370,146,180,9,8
371,180,148,12,8
371,148,180,8,12
372,180,150,10,5
372,150,180,5,10
373,180,86,4,1
373,86,180,1,4
374,180,143,12,6
374,143,180,6,12
375,180,216,13,4
375,216,180,4,13
376,180,146,11,6
376,146,180,6,11
377,180,93,15,3
377,93,180,3,15
378,180,94,9,5
378,94,180,5,9
379,180,179,13,5
379,179,180,5,13
380,180,217,13,2
380,217,180,2,13
381,180,95,13,5
381,95,180,5,13
382,180,88,13,7
382,88,180,7,13
383,180,218,13,2
383,218,180,2,13
384,180,219,13,5
384,219,180,5,13
385,180,93,15,6
385,93,180,6,15
386,180,94,15,7
386,94,180,7,15
387,220,15,13,3
387,15,220,3,13
388,220,169,6,10
388,169,220,10,6
389,220,221,5,6
389,221,220,6,5
390,220,175,0,0
390,175,220,0,0
391,94,222,10,11
391,222,94,11,10
392,94,184,4,13
392,184,94,13,4
393,94,12,13,6
393,12,94,6,13
394,94,186,11,13
394,186,94,13,11
395,94,76,10,11
395,76,94,11,10
396,94,10,11,3
396,10,94,3,11
397,94,13,7,11
397,13,94,11,7
398,94,93,15,2
398,93,94,2,15
399,94,179,10,9
399,179,94,9,10
400,94,93,13,5
400,93,94,5,13
401,94,90,13,3
401,90,94,3,13
402,94,91,13,1
402,91,94,1,13
403,94,92,13,8
403,92,94,8,13
404,94,88,15,7
404,88,94,7,15
405,223,224,13,7
405,224,223,7,13
406,223,225,13,11
406,225,223,11,13
407,223,136,13,8
407,136,223,8,13
408,223,226,10,13
408,226,223,13,10
409,223,224,13,7
409,224,223,7,13
410,223,227,13,5
410,227,223,5,13
411,223,228,13,7
411,228,223,7,13
412,223,58,13,10
412,58,223,10,13
413,223,229,13,7
413,229,223,7,13
414,223,230,10,7
414,230,223,7,10
415,223,231,13,8
415,231,223,8,13
416,223,232,13,8
416,232,223,8,13
417,223,233,13,7
417,233,223,7,13
418,223,59,13,3
418,59,223,3,13
419,223,234,14,13
419,234,223,13,14
420,223,235,15,14
420,235,223,14,15
421,223,226,12,15
421,226,223,15,12
422,223,224,15,11
422,224,223,11,15
423,223,236,15,11
423,236,223,11,15
424,223,237,15,9
424,237,223,9,15
425,122,123,13,3
425,123,122,3,13
426,122,124,5,13
426,124,122,13,5
427,122,238,13,2
427,238,122,2,13
428,122,125,8,13
428,125,122,13,8
429,122,135,6,13
429,135,122,13,6
430,122,239,9,11
430,239,122,11,9
431,122,240,13,9
431,240,122,9,13
432,122,238,13,1
432,238,122,1,13
433,122,241,13,3
433,241,122,3,13
434,122,132,13,1
434,132,122,1,13
435,122,120,13,3
435,120,122,3,13
436,122,130,13,2
436,130,122,2,13
437,242,243,13,2
437,243,242,2,13
438,242,244,11,7
438,244,242,7,11
439,242,245,11,10
439,245,242,10,11
440,242,246,4,12
440,246,242,12,4
441,242,226,5,8
441,226,242,8,5
442,242,247,13,3
442,247,242,3,13
443,242,248,13,2
443,248,242,2,13
444,242,249,12,9
444,249,242,9,12
445,242,112,13,8
445,112,242,8,13
446,242,234,10,11
446,234,242,11,10
447,242,225,11,12
447,225,242,12,11
448,242,250,16,9
448,250,242,9,16
449,242,245,14,17
449,245,242,17,14
450,242,236,15,5
450,236,242,5,15
451,242,226,14,15
451,226,242,15,14
452,242,250,15,10
452,250,242,10,15
453,242,245,13,12
453,245,242,12,13
454,251,252,13,2
454,252,251,2,13
455,251,253,12,4
455,253,251,4,12
456,251,254,12,4
456,254,251,4,12
457,251,202,13,3
457,202,251,3,13
458,251,128,7,5
458,128,251,5,7
459,251,243,11,9
459,243,251,9,11
460,251,225,5,13
460,225,251,13,5
461,251,255,9,13
461,255,251,13,9
462,251,2,10,13
462,2,251,13,10
463,251,256,7,13
463,256,251,13,7
464,251,257,10,13
464,257,251,13,10
465,251,254,15,3
465,254,251,3,15
466,251,258,12,14
466,258,251,14,12
467,259,57,9,11
467,57,259,11,9
468,259,230,13,11
468,230,259,11,13
469,259,58,4,13
469,58,259,13,4
470,259,231,11,13
470,231,259,13,11
471,259,55,13,9
471,55,259,9,13
472,259,54,13,12
472,54,259,12,13
473,259,231,13,8
473,231,259,8,13
474,259,237,13,9
474,237,259,9,13
475,259,260,11,13
475,260,259,13,11
476,259,261,11,12
476,261,259,12,11
477,259,262,13,11
477,262,259,11,13
478,259,235,13,15
478,235,259,15,13
479,259,228,15,11
479,228,259,11,15
480,259,263,15,13
480,263,259,13,15
481,259,230,15,12
481,230,259,12,15
482,259,261,13,12
482,261,259,12,13
483,259,264,10,13
483,264,259,13,10
484,259,260,5,13
484,260,259,13,5
485,259,65,13,8
485,65,259,8,13
486,259,32,15,7
486,32,259,7,15
487,259,265,13,11
487,265,259,11,13
488,259,261,14,13
488,261,259,13,14
489,86,150,7,10
489,150,86,10,7
490,86,148,5,7
490,148,86,7,5
491,86,146,4,9
491,146,86,9,4
492,86,148,6,9
492,148,86,9,6
493,86,87,8,4
493,87,86,4,8
494,86,88,4,7
494,88,86,7,4
495,86,85,10,1
495,85,86,1,10
496,86,84,13,0
496,84,86,0,13
497,86,87,5,15
497,87,86,15,5
498,18,266,13,1
498,266,18,1,13
499,18,19,13,1
499,19,18,1,13
500,18,267,13,8
500,267,18,8,13
501,18,155,12,11
501,155,18,11,12
502,18,154,13,7
502,154,18,7,13
503,18,12,13,7
503,12,18,7,13
504,18,173,12,11
504,173,18,11,12
505,18,268,7,11
505,268,18,11,7
506,18,136,5,13
506,136,18,13,5
507,18,196,10,13
507,196,18,13,10
508,269,249,12,13
508,249,269,13,12
509,269,241,13,2
509,241,269,2,13
510,269,270,13,1
510,270,269,1,13
511,269,271,13,2
511,271,269,2,13
512,269,241,13,3
512,241,269,3,13
513,272,273,12,11
513,273,272,11,12
514,272,274,11,10
514,274,272,10,11
515,272,275,15,7
515,275,272,7,15
516,272,258,15,10
516,258,272,10,15
517,272,264,1,15
517,264,272,15,1
518,272,234,1,15
518,234,272,15,1
519,272,128,3,13
519,128,272,13,3
520,272,241,13,1
520,241,272,1,13
521,272,125,5,9
521,125,272,9,5
522,272,276,9,8
522,276,272,8,9
523,272,202,11,8
523,202,272,8,11
524,272,277,11,8
524,277,272,8,11
525,272,128,7,11
525,128,272,11,7
526,272,241,13,9
526,241,272,9,13
527,272,276,8,11
527,276,272,11,8
528,272,128,7,10
528,128,272,10,7
529,272,277,10,7
529,277,272,7,10
530,129,127,5,13
530,127,129,13,5
531,129,248,7,13
531,248,129,13,7
532,129,271,12,10
532,271,129,10,12
533,129,131,12,8
533,131,129,8,12
534,129,241,13,6
534,241,129,6,13
535,129,276,4,12
535,276,129,12,4
536,129,127,10,11
536,127,129,11,10
537,129,125,11,12
537,125,129,12,11
538,129,278,2,13
538,278,129,13,2
539,129,126,11,6
539,126,129,6,11
540,225,224,13,9
540,224,225,9,13
541,225,279,13,9
541,279,225,9,13
542,225,280,13,4
542,280,225,4,13
543,225,226,11,9
543,226,225,9,11
544,225,246,7,4
544,246,225,4,7
545,225,270,13,6
545,270,225,6,13
546,225,226,12,10
546,226,225,10,12
547,225,255,13,10
547,255,225,10,13
548,225,249,13,7
548,249,225,7,13
549,225,235,13,9
549,235,225,9,13
550,225,260,12,13
550,260,225,13,12
551,225,245,13,11
551,245,225,11,13
552,225,226,13,11
552,226,225,11,13
553,225,2,13,11
553,2,225,11,13
554,225,255,13,9
554,255,225,9,13
555,225,246,13,8
555,246,225,8,13
556,225,245,10,13
556,245,225,13,10
557,225,230,13,9
557,230,225,9,13
558,225,281,13,8
558,281,225,8,13
559,225,32,13,7
559,32,225,7,13
560,225,57,12,13
560,57,225,13,12
561,225,260,10,15
561,260,225,15,10
562,225,246,15,11
562,246,225,11,15
563,225,57,13,14
563,57,225,14,13
564,243,256,5,13
564,256,243,13,5
565,243,224,5,13
565,224,243,13,5
566,243,131,13,2
566,131,243,2,13
567,243,276,10,8
567,276,243,8,10
568,243,278,12,8
568,278,243,8,12
569,243,282,12,8
569,282,243,8,12
570,243,249,9,11
570,249,243,11,9
571,243,202,13,6
571,202,243,6,13
572,243,283,13,4
572,283,243,4,13
573,243,254,13,6
573,254,243,6,13
574,243,125,12,7
574,125,243,7,12
575,284,134,4,13
575,134,284,13,4
576,284,282,7,13
576,282,284,13,7
577,284,132,9,13
577,132,284,13,9
578,284,276,6,13
578,276,284,13,6
579,284,271,6,13
579,271,284,13,6
580,283,202,5,11
580,202,283,11,5
581,283,282,9,6
581,282,283,6,9
582,283,285,5,13
582,285,283,13,5
583,283,277,4,13
583,277,283,13,4
584,283,7,5,13
584,7,283,13,5
585,283,127,2,13
585,127,283,13,2
586,283,5,8,11
586,5,283,11,8
587,283,5,5,13
587,5,283,13,5
588,283,282,6,11
588,282,283,11,6
589,246,249,12,7
589,249,246,7,12
590,246,280,13,9
590,280,246,9,13
591,246,136,13,6
591,136,246,6,13
592,246,245,10,11
592,245,246,11,10
593,246,227,12,8
593,227,246,8,12
594,246,265,9,8
594,265,246,8,9
595,246,244,13,11
595,244,246,11,13
596,246,227,13,6
596,227,246,6,13
597,246,260,13,10
597,260,246,10,13
598,246,235,10,12
598,235,246,12,10
599,246,226,9,11
599,226,246,11,9
600,246,245,7,11
600,245,246,11,7
601,246,257,13,5
601,257,246,5,13
602,246,224,13,8
602,224,246,8,13
603,246,234,10,11
603,234,246,11,10
604,246,248,13,6
604,248,246,6,13
605,246,112,10,9
605,112,246,9,10
606,246,255,12,8
606,255,246,8,12
607,246,262,13,6
607,262,246,6,13
608,246,265,13,8
608,265,246,8,13
609,246,286,8,13
609,286,246,13,8
610,246,63,13,7
610,63,246,7,13
611,246,158,12,15
611,158,246,15,12
612,246,287,9,13
612,287,246,13,9
613,241,249,4,13
613,249,241,13,4
614,241,270,6,13
614,270,241,13,6
615,241,132,12,9
615,132,241,9,12
616,241,128,7,11
616,128,241,11,7
617,241,126,12,10
617,126,241,10,12
618,241,277,10,9
618,277,241,9,10
619,241,285,8,13
619,285,241,13,8
620,241,135,5,13
620,135,241,13,5
621,241,238,12,5
621,238,241,5,12
622,241,240,8,9
622,240,241,9,8
623,241,6,2,15
623,6,241,15,2
624,241,121,6,15
624,121,241,15,6
625,241,288,14,7
625,288,241,7,14
626,241,128,6,10
626,128,241,10,6
627,241,276,5,10
627,276,241,10,5
628,241,277,9,8
628,277,241,8,9
629,241,276,5,10
629,276,241,10,5
630,241,277,9,8
630,277,241,8,9
631,270,249,7,13
631,249,270,13,7
632,270,134,6,13
632,134,270,13,6
633,270,278,8,13
633,278,270,13,8
634,270,282,5,9
634,282,270,9,5
635,270,280,0,13
635,280,270,13,0
636,270,264,5,13
636,264,270,13,5
637,270,280,1,13
637,280,270,13,1
638,270,265,0,13
638,265,270,13,0
639,270,224,7,13
639,224,270,13,7
640,270,255,3,13
640,255,270,13,3
641,278,276,13,8
641,276,278,8,13
642,278,131,13,2
642,131,278,2,13
643,278,127,9,10
643,127,278,10,9
644,278,128,10,7
644,128,278,7,10
645,278,134,7,9
645,134,278,9,7
646,278,125,8,10
646,125,278,10,8
647,278,125,7,9
647,125,278,9,7
648,278,127,4,12
648,127,278,12,4
649,255,279,11,13
649,279,255,13,11
650,255,224,12,11
650,224,255,11,12
651,255,245,11,13
651,245,255,13,11
652,255,256,5,8
652,256,255,8,5
653,255,265,11,13
653,265,255,13,11
654,255,224,5,7
654,224,255,7,5
655,255,235,10,11
655,235,255,11,10
656,255,249,10,11
656,249,255,11,10
657,255,244,10,11
657,244,255,11,10
658,255,2,9,13
658,2,255,13,9
659,255,127,12,9
659,127,255,9,12
660,255,234,9,13
660,234,255,13,9
661,255,249,11,10
661,249,255,10,11
662,255,280,15,13
662,280,255,13,15
663,255,226,7,15
663,226,255,15,7
664,255,289,13,11
664,289,255,11,13
665,255,234,11,15
665,234,255,15,11
666,255,237,15,11
666,237,255,11,15
667,255,280,9,15
667,280,255,15,9
668,132,282,8,13
668,282,132,13,8
669,132,134,2,13
669,134,132,13,2
670,132,131,10,9
670,131,132,9,10
671,132,271,5,9
671,271,132,9,5
672,132,131,8,6
672,131,132,6,8
673,132,120,7,13
673,120,132,13,7
674,132,130,8,13
674,130,132,13,8
675,132,131,5,7
675,131,132,7,5
676,224,227,3,4
676,227,224,4,3
677,224,264,6,11
677,264,224,11,6
678,224,235,6,11
678,235,224,11,6
679,224,226,10,13
679,226,224,13,10
680,224,245,9,13
680,245,224,13,9
681,224,256,9,10
681,256,224,10,9
682,224,244,8,13
682,244,224,13,8
683,224,234,10,11
683,234,224,11,10
684,224,257,13,5
684,257,224,5,13
685,224,249,12,13
685,249,224,13,12
686,224,127,13,10
686,127,224,10,13
687,224,2,13,10
687,2,224,10,13
688,224,237,14,10
688,237,224,10,14
689,224,236,15,6
689,236,224,6,15
690,224,234,11,15
690,234,224,15,11
691,224,245,9,15
691,245,224,15,9
692,224,250,15,9
692,250,224,9,15
693,271,248,5,12
693,248,271,12,5
694,271,127,6,13
694,127,271,13,6
695,271,125,3,13
695,125,271,13,3
696,271,128,2,13
696,128,271,13,2
697,271,282,7,12
697,282,271,12,7
698,271,282,7,13
